436.5648854962,2.8403567057,0
447.5572519084,2.7705952584,0.0158415842
456.4885496183,2.7163879599,0.1128712871
461.0687022901,2.6894039735,0.2514851485
464.0458015267,2.6721500247,0.3782178218
466.3358778626,2.6590276641,0.5128712871
468.6259541985,2.646033556,0.6633663366
471.3740458015,2.6306072874,0.8099009901
473.893129771,2.6166237113,0.9326732673
478.0152671756,2.5940594059,0.996039604
482.3664122137,2.5706599145,0.9207920792
485.8015267176,2.5524827153,0.8297029703
489.6946564886,2.5321901793,0.7425742574
494.7328244275,2.5064033328,0.6910891089
500.6870229008,2.4765970422,0.7267326733
507.5572519084,2.4430741465,0.7683168317
513.0534351145,2.4169022467,0.6910891089
517.6335877863,2.3955168854,0.5920792079
521.7557251908,2.3765910753,0.5089108911
525.1908396947,2.3610465116,0.4316831683
530.2290076336,2.3386121509,0.3207920792
536.8702290076,2.3096829234,0.2712871287
546.9465648855,2.2671318911,0.2079207921
555.6488549618,2.2316252232,0.1524752475
564.8091603053,2.1954318151,0.100990099
574.8854961832,2.1569512681,0.0534653465
587.7099236641,2.1098844006,0.0277227723
598.7022900763,2.0711462451,0.0257425743
611.9847328244,2.026194337,0.0138613861
624.8091603053,1.9846059866,0.003960396
